id,lat,lng,ss,s1,fa,sms,sds,fv,sm1,sd1,sdc,ssrt,s1rt,ssuh,s1uh
1,34.05,-118.25,1.97,0.701,1,1.97,1.313,1.7,1.192,0.795,D,1.97,0.701,2.193,0.781
2,34.05,-118.4,2.111,0.753,1,2.111,1.407,1.7,1.28,0.854,E,2.111,0.753,2.366,0.842
3,34.2,-118.55,1.735,0.6,1,1.735,1.157,1.7,1.02,0.68,D,1.944,0.686,2.101,0.753
4,33.8,-118.2,1.683,0.608,1,1.683,1.122,1.7,1.033,0.689,D,1.683,0.608,1.878,0.679
5,33.65,-117.8,1.249,0.447,1.2,1.499,0.999,1.5,0.67,0.447,D,1.249,0.447,1.336,0.478
6,33.95,-117.4,1.5,0.581,1,1.5,1,1.719,0.998,0.666,D,1.584,0.581,1.676,0.633
7,34.1,-117.3,2.327,0.931,1,2.327,1.552,1.7,1.583,1.055,E,2.633,1.065,2.875,1.198
8,35.3,-120.65,1.089,0.401,1.2,1.306,0.871,1.5,0.602,0.401,D,1.089,0.401,1.211,0.445
9,32.7,-117.15,1.576,0.527,1,1.576,1.051,1.773,0.934,0.623,D,1.576,0.527,1.823,0.605
10,34.45,-119.7,2.119,0.775,1.2,2.543,1.695,1.4,1.085,0.723,E,2.119,0.775,2.429,0.882
11,34.3,-119.3,2.02,0.763,1,2.02,1.346,1.7,1.297,0.864,E,2.02,0.763,2.288,0.864
12,37.8,-122.25,1.883,0.719,1,1.883,1.255,1.7,1.222,0.815,D,2.291,0.863,2.505,0.959
13,37.95,-122,2.221,0.673,1.2,2.666,1.777,1.4,0.942,0.628,D,2.626,0.904,2.895,1.007
14,36.6,-121.9,1.328,0.496,1.2,1.594,1.063,1.5,0.745,0.496,D,1.328,0.496,1.447,0.542
15,38.6,-121.5,0.566,0.253,1.347,0.763,0.509,2.094,0.53,0.353,D,0.566,0.253,0.596,0.269
16,37.75,-122.4,1.5,0.6,1.2,1.8,1.2,1.4,0.84,0.56,D,1.779,0.702,1.917,0.772
17,37.55,-122.3,1.801,0.736,1.2,2.161,1.441,2,1.472,0.981,D,2.156,0.887,2.416,1.003
18,37.35,-121.9,1.5,0.6,1,1.5,1,1.7,1.02,0.68,D,2.166,0.795,2.269,0.852
19,36.95,-122.05,1.594,0.602,1,1.594,1.062,1.7,1.024,0.682,D,1.594,0.602,1.72,0.662
20,38.1,-122.25,1.502,0.6,1,1.502,1.001,1.7,1.02,0.68,D,2.141,0.771,2.331,0.841
21,38.45,-122.7,2.413,0.939,1.2,2.896,1.93,1.4,1.314,0.876,E,2.637,1.013,2.963,1.145
22,47.6,-122.3,1.397,0.487,1.2,1.676,1.118,1.5,0.731,0.487,D,1.397,0.487,1.55,0.544
23,47.25,-122.45,1.355,0.468,1.2,1.626,1.084,1.5,0.702,0.468,D,1.355,0.468,1.486,0.521
24,48,-122.2,1.201,0.427,1.2,1.441,0.961,1.5,0.641,0.427,D,1.201,0.427,1.326,0.478
25,45.5,-122.65,0.888,0.394,1.145,1.016,0.678,1.906,0.75,0.5,D,0.888,0.394,1.002,0.452
26,40.75,-111.9,1.545,0.555,1,1.545,1.03,1.745,0.968,0.645,D,1.545,0.555,1.799,0.646
27,43.6,-116.2,0.307,0.109,1.555,0.477,0.318,2.381,0.261,0.174,C,0.307,0.109,0.338,0.119
28,39.55,-119.8,1.465,0.516,1.2,1.758,1.172,1.484,0.765,0.51,D,1.465,0.516,1.629,0.574
29,36.2,-115.15,0.645,0.206,1.242,0.801,0.534,1.5,0.308,0.206,D,0.645,0.206,0.716,0.223
30,38.6,-90.2,0.461,0.162,1.3,0.599,0.399,1.5,0.243,0.162,C,0.461,0.162,0.507,0.188
31,35.15,-90.05,1.025,0.347,1.09,1.117,0.745,1.953,0.678,0.452,D,1.025,0.347,1.171,0.397
32,32.8,-79.95,1.418,0.414,1,1.418,0.945,1.886,0.781,0.521,D,1.418,0.414,1.659,0.464
33,41.85,-87.65,0.117,0.063,1.6,0.188,0.125,2.4,0.152,0.101,B,0.117,0.063,0.123,0.071
34,40.75,-74,0.29,0.06,1.3,0.378,0.252,1.5,0.09,0.06,B,0.29,0.06,0.311,0.064
